model,accuracy,precision,recall,f1,auc_pr,threshold,activation,learning_rate_init,max_iter,train_time_sec,n_iter_
MLP_tuned,0.825308387712186,0.21591504981646564,0.44226638023630505,0.290169133192389,0.20660795834219456,0.1422593999653564,relu,0.01,50,117.11463379859924,50
MLP_tuned,0.8240943482125437,0.20337837837837838,0.4041353383458647,0.2705861201006832,0.19613362524530165,0.1417464778917684,tanh,0.01,50,59.63196420669556,50
MLP_tuned,0.8227502330522254,0.19918918918918918,0.3958109559613319,0.2650125854009349,0.1954530673856963,0.12269304354842815,relu,0.001,50,66.00093913078308,50
MLP_tuned,0.7938083985518243,0.18094608005292756,0.44065520945220193,0.25654654889392636,0.19190443284396297,0.10614375611871806,tanh,0.001,50,61.22059869766235,50
MLP_tuned,0.823053742927136,0.1935082872928177,0.37620837808807733,0.25556366289675303,0.1857759353975274,0.15446370480321345,relu,0.001,100,131.49305534362793,100
MLP_tuned,0.7798686235827172,0.1695786228160329,0.4430719656283566,0.24528021406273226,0.1717324317652131,0.10806705496745823,relu,0.001,150,197.43201088905334,150
MLP_tuned,0.08602337026036812,0.08096203746102353,0.9970461868958109,0.14976303317535544,0.08098469992585491,0.07347911980228035,relu,0.1,50,17.526857137680054,14
