model,accuracy,precision,recall,f1,auc_pr,threshold,train_time_sec
Final_XGBoost,0.8369501593426844,0.23635606165810305,0.45703544575725025,0.31157894736842107,0.250944787953969,0.6327112317085266,65.07153034210205
Final_MLP,0.8494591020443558,0.23897535667963685,0.3958109559613319,0.29801860088960774,0.21790285444929897,0.1422593999653564,223.88464617729187
