feature,importance
cat__ORGANIZATION_TYPE_Services,0.0036359332
cat__ORGANIZATION_TYPE_Police,0.0036140247
cat__WEEKDAY_APPR_PROCESS_START_MONDAY,0.0036097087
cat__ORGANIZATION_TYPE_Bank,0.0035961193
num__AMT_REQ_CREDIT_BUREAU_WEEK,0.003586747
cat__FONDKAPREMONT_MODE_reg oper spec account,0.003577829
cat__OCCUPATION_TYPE_High skill tech staff,0.0035512336
num__NONLIVINGAPARTMENTS_AVG,0.003550638
cat__NAME_TYPE_SUITE_Family,0.003543545
cat__WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0035297482
num__FLAG_DOCUMENT_5,0.0035147918
cat__WALLSMATERIAL_MODE_Panel,0.003513674
cat__NAME_INCOME_TYPE_Unemployed,0.0034883935
cat__NAME_TYPE_SUITE_Children,0.0034813252
num__YEARS_BUILD_AVG,0.0034801841
cat__ORGANIZATION_TYPE_Hotel,0.0034775978
num__BASEMENTAREA_AVG,0.003458468
cat__FONDKAPREMONT_MODE_not specified,0.0034319425
num__YEARS_BEGINEXPLUATATION_AVG,0.003430179
num__FLAG_DOCUMENT_2,0.003421554
cat__FONDKAPREMONT_MODE_reg oper account,0.0034192929
cat__WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0034127692
num__ENTRANCES_AVG,0.0034102614
cat__NAME_EDUCATION_TYPE_Lower secondary,0.0034053796
num__AMT_INCOME_TOTAL,0.0034036972
cat__OCCUPATION_TYPE_Managers,0.0034027458
num__HOUR_APPR_PROCESS_START,0.0033840917
num__OBS_30_CNT_SOCIAL_CIRCLE,0.0033750723
num__FLAG_DOCUMENT_8,0.003363029
cat__FLAG_OWN_REALTY_Y,0.0033562258
cat__ORGANIZATION_TYPE_Electricity,0.0033528372
cat__ORGANIZATION_TYPE_Transport: type 1,0.003336103
num__REG_CITY_NOT_WORK_CITY,0.0033315944
cat__WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0033291185
cat__FONDKAPREMONT_MODE_org spec account,0.0033123274
cat__OCCUPATION_TYPE_Security staff,0.0032971757
cat__NAME_INCOME_TYPE_Commercial associate,0.0032963047
cat__HOUSETYPE_MODE_block of flats,0.0032884502
cat__NAME_HOUSING_TYPE_Office apartment,0.0032861857
num__FLAG_PHONE,0.0032739425
cat__ORGANIZATION_TYPE_Transport: type 4,0.0032557156
cat__NAME_HOUSING_TYPE_Municipal apartment,0.0032548404
cat__WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0032526292
cat__NAME_EDUCATION_TYPE_Incomplete higher,0.003238874
num__FLAG_DOCUMENT_6,0.0032250567
cat__ORGANIZATION_TYPE_Postal,0.0032160357
cat__ORGANIZATION_TYPE_Legal Services,0.0032009948
cat__ORGANIZATION_TYPE_Business Entity Type 1,0.0031970353
cat__FLAG_OWN_REALTY_N,0.0031883868
cat__NAME_HOUSING_TYPE_With parents,0.0031871067
num__REG_REGION_NOT_WORK_REGION,0.0031681305
cat__NAME_HOUSING_TYPE_Rented apartment,0.0031585286
num__LIVE_REGION_NOT_WORK_REGION,0.0031514994
cat__NAME_FAMILY_STATUS_Civil marriage,0.0031487949
cat__NAME_TYPE_SUITE_Unaccompanied,0.0031436456
cat__OCCUPATION_TYPE_Waiters/barmen staff,0.0031315526
cat__OCCUPATION_TYPE_Cleaning staff,0.0031156926
cat__ORGANIZATION_TYPE_Housing,0.0030974532
num__FLAG_EMAIL,0.0030559984
cat__OCCUPATION_TYPE_Private service staff,0.0030466907
cat__ORGANIZATION_TYPE_Government,0.0030437117
cat__ORGANIZATION_TYPE_Industry: type 10,0.0030357863
cat__OCCUPATION_TYPE_Laborers,0.003030723
"cat__NAME_TYPE_SUITE_Spouse, partner",0.0030228237
cat__HOUSETYPE_MODE_terraced house,0.00298452
cat__WALLSMATERIAL_MODE_Others,0.0029790134
num__LIVE_CITY_NOT_WORK_CITY,0.0029668428
cat__WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0029663288
cat__ORGANIZATION_TYPE_Industry: type 7,0.002965453
cat__ORGANIZATION_TYPE_Telecom,0.002961786
cat__EMERGENCYSTATE_MODE_No,0.002943539
cat__ORGANIZATION_TYPE_University,0.0029270914
cat__ORGANIZATION_TYPE_Business Entity Type 2,0.0029092696
cat__ORGANIZATION_TYPE_Industry: type 11,0.0028520033
cat__ORGANIZATION_TYPE_Security,0.0028439537
cat__ORGANIZATION_TYPE_Agriculture,0.0028222199
cat__ORGANIZATION_TYPE_Advertising,0.0028177155
cat__ORGANIZATION_TYPE_Trade: type 3,0.0028103422
cat__NAME_TYPE_SUITE_Other_A,0.002798829
cat__ORGANIZATION_TYPE_Emergency,0.0027615123
cat__ORGANIZATION_TYPE_Mobile,0.0027561358
cat__ORGANIZATION_TYPE_Trade: type 1,0.00273254
num__REG_REGION_NOT_LIVE_REGION,0.002715731
cat__WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0027028963
cat__OCCUPATION_TYPE_Cooking staff,0.002671075
cat__ORGANIZATION_TYPE_Trade: type 7,0.0026466453
cat__HOUSETYPE_MODE_specific housing,0.0026140432
cat__ORGANIZATION_TYPE_Industry: type 5,0.0025961217
cat__OCCUPATION_TYPE_HR staff,0.0025845042
cat__EMERGENCYSTATE_MODE_Yes,0.002579117
cat__ORGANIZATION_TYPE_Transport: type 2,0.0025370426
cat__ORGANIZATION_TYPE_Industry: type 4,0.0025013138
cat__ORGANIZATION_TYPE_Industry: type 1,0.0024876103
cat__ORGANIZATION_TYPE_Industry: type 8,0.002480784
cat__OCCUPATION_TYPE_Realty agents,0.0024660525
cat__NAME_TYPE_SUITE_Other_B,0.0024652674
num__FLAG_DOCUMENT_9,0.0024528466
cat__OCCUPATION_TYPE_IT staff,0.0024457967
num__CNT_CHILDREN,0.002409407
cat__WALLSMATERIAL_MODE_Mixed,0.0023662027
num__FLAG_DOCUMENT_17,0.0023329474
num__FLAG_CONT_MOBILE,0.002330648
num__AMT_REQ_CREDIT_BUREAU_HOUR,0.0023068276
cat__ORGANIZATION_TYPE_Industry: type 3,0.0022740422
cat__WALLSMATERIAL_MODE_Wooden,0.002266092
num__FLAG_DOCUMENT_21,0.0020589223
cat__ORGANIZATION_TYPE_Religion,0.0020039491
cat__ORGANIZATION_TYPE_Cleaning,0.0018256544
num__FLAG_DOCUMENT_20,0.0016059555
cat__ORGANIZATION_TYPE_Trade: type 5,0.0013562927
cat__NAME_TYPE_SUITE_Group of people,0.0
cat__CODE_GENDER_XNA,0.0
num__FLAG_DOCUMENT_19,0.0
num__FLAG_DOCUMENT_12,0.0
num__FLAG_DOCUMENT_4,0.0
num__FLAG_DOCUMENT_7,0.0
num__FLAG_DOCUMENT_10,0.0
num__FLAG_MOBIL,0.0
cat__NAME_INCOME_TYPE_Student,0.0
cat__NAME_INCOME_TYPE_Maternity leave,0.0
cat__NAME_INCOME_TYPE_Businessman,0.0
cat__NAME_FAMILY_STATUS_Unknown,0.0
cat__ORGANIZATION_TYPE_Industry: type 13,0.0
cat__ORGANIZATION_TYPE_Industry: type 6,0.0
cat__ORGANIZATION_TYPE_XNA,0.0
cat__ORGANIZATION_TYPE_Trade: type 4,0.0
