model,accuracy,precision,recall,f1,auc_pr,threshold,n_estimators,train_time_sec
XGB_nest_1000,0.8560279229084917,0.2499571404080233,0.39151450053705694,0.3051166684105891,0.2513528620453374,0.6591770052909851,1000,49.479135274887085
XGB_nest_300,0.8370585557265809,0.2275079045702788,0.4250805585392052,0.2963864444860513,0.23881458271180256,0.624216616153717,300,19.02049994468689
XGB_nest_100,0.8378390096906367,0.22136498516320474,0.40064446831364126,0.2851681957186544,0.22731531453467935,0.5802620649337769,100,7.911351442337036
