model,accuracy,precision,recall,f1,auc_pr,threshold,learning_rate,train_time_sec,best_iteration
XGB_lr_0.01,0.8560279229084917,0.2499571404080233,0.39151450053705694,0.3051166684105891,0.2513528620453374,0.6591770052909851,0.01,66.3417067527771,999
XGB_lr_0.1,0.8570251696403408,0.23828623518687328,0.35096670247046186,0.28385275274188293,0.23111803164096595,0.6005110740661621,0.1,57.42649483680725,999
XGB_lr_0.3,0.826175558783359,0.1961505802434192,0.37218045112781956,0.25690454124189066,0.19063134915818963,0.3619537353515625,0.3,60.807374238967896,998
