model,accuracy,precision,recall,f1,auc_pr,threshold,architecture,train_time_sec,n_iter_
"MLP_arch_(64,)",0.823053742927136,0.1935082872928177,0.37620837808807733,0.25556366289675303,0.1857759353975274,0.15446370480321345,"(64,)",129.25996708869934,100
"MLP_arch_(128, 64)",0.7953909857567152,0.1536969696969697,0.34049409237379163,0.2117922164690162,0.14136883291076754,0.09649224356544103,"(128, 64)",287.9164659976959,100
"MLP_arch_(256, 128, 64)",0.8315736987014113,0.15147337584008272,0.23603651987110633,0.18452818305867535,0.1275931047585536,0.030674277920099455,"(256, 128, 64)",550.1451120376587,100
